text,label
"Subject: Mailbox suspension warning
Body: A new voice message is waiting. Open the secure playback portal at [safe-link-placeholder].",phishing
"Subject: VPN reactivation required
Body: ChirpyHub security requires all employees to re-authenticate before the end of the day at [safe-link-placeholder].",phishing
"Subject: Maintenance notice
Body: The updated employee handbook is available on the HR portal for reference.",legitimate
"Subject: Vendor invoice
Body: The password policy reminder was posted on the internal wiki. No password reset is required at this time.",legitimate
"Subject: Onboarding session
Body: The password policy reminder was posted on the internal wiki. No password reset is required at this time.",legitimate
"Subject: Immediate verification required
Body: CEO request: purchase gift cards for a confidential employee reward program and reply with the codes.",phishing
"Subject: Final payroll notice
Body: Your account has been flagged for policy violations. Appeal immediately using [safe-link-placeholder].",phishing
"Subject: Project schedule
Body: Please join the onboarding session for the new intern group at 2:15 PM.",legitimate
"Subject: Final payroll notice
Body: A new voice message is waiting. Open the secure playback portal at [safe-link-placeholder].",phishing
"Subject: Mailbox suspension warning
Body: CEO request: purchase gift cards for a confidential employee reward program and reply with the codes.",phishing
"Subject: Secure document shared
Body: Action required: your VPN access has been suspended. Re-activate it using [safe-link-placeholder].",phishing
"Subject: Engineering sync
Body: The database backup completed successfully last night. No errors were reported.",legitimate
"Subject: Vendor invoice
Body: Reminder that the engineering sync is tomorrow morning. Please bring updates on your current tasks.",legitimate
"Subject: Project schedule
Body: The network team completed the firewall rule update. Services should be operating normally.",legitimate
"Subject: Training reminder
Body: Reminder that the engineering sync is tomorrow morning. Please bring updates on your current tasks.",legitimate
"Subject: Training reminder
Body: Reminder that the engineering sync is tomorrow morning. Please bring updates on your current tasks.",legitimate
"Subject: CEO confidential request
Body: Your direct deposit failed. Confirm your banking details immediately at [safe-link-placeholder].",phishing
"Subject: Firewall update
Body: The maintenance window is scheduled for Monday from 2:15 PM to 9:00 AM. No action is needed from users.",legitimate
"Subject: Engineering sync
Body: The network team completed the firewall rule update. Services should be operating normally.",legitimate
"Subject: Immediate verification required
Body: Unpaid vendor balance detected. Process payment today to avoid legal escalation.",phishing
"Subject: Firewall update
Body: The release candidate passed the initial QA checks. Additional regression testing starts tomorrow.",legitimate
"Subject: Final payroll notice
Body: Your mailbox storage is full. Log in now at [safe-link-placeholder] to prevent account suspension.",phishing
"Subject: Meeting update
Body: The password policy reminder was posted on the internal wiki. No password reset is required at this time.",legitimate
"Subject: Invoice payment overdue
Body: The finance department needs your password to finalize an urgent payment approval.",phishing
"Subject: Report feedback
Body: Reminder that the engineering sync is tomorrow morning. Please bring updates on your current tasks.",legitimate
"Subject: Report feedback
Body: Your badge access request for the lab area has been submitted for manager review.",legitimate
"Subject: CEO confidential request
Body: Important compliance document attached. Open it and enable editing to view the full contents.",phishing
"Subject: Invoice payment overdue
Body: ChirpyHub security requires all employees to re-authenticate before the end of the day at [safe-link-placeholder].",phishing
"Subject: Engineering sync
Body: The database backup completed successfully last night. No errors were reported.",legitimate
"Subject: Invoice payment overdue
Body: ChirpyHub security requires all employees to re-authenticate before the end of the day at [safe-link-placeholder].",phishing
"Subject: CEO confidential request
Body: HR shared a confidential compensation file with you. Sign in at [safe-link-placeholder] to access it.",phishing
"Subject: Engineering sync
Body: Your badge access request for the lab area has been submitted for manager review.",legitimate
"Subject: Policy reminder
Body: Thanks for sending the report. I added a few comments and returned it for review.",legitimate
"Subject: Firewall update
Body: I pushed the latest changes to the repository. Please pull the main branch before testing.",legitimate
"Subject: Document review
Body: The network team completed the firewall rule update. Services should be operating normally.",legitimate
"Subject: Firewall update
Body: The security awareness training is available in the employee portal. Please complete it by Friday.",legitimate
"Subject: Vendor invoice
Body: Your PTO request has been approved. The calendar has been updated to reflect the change.",legitimate
"Subject: Secure document shared
Body: Unpaid vendor balance detected. Process payment today to avoid legal escalation.",phishing
"Subject: Final payroll notice
Body: Your mailbox storage is full. Log in now at [safe-link-placeholder] to prevent account suspension.",phishing
"Subject: Secure document shared
Body: CEO request: purchase gift cards for a confidential employee reward program and reply with the codes.",phishing
"Subject: Onboarding session
Body: Please confirm whether the conference room is available for the project review meeting.",legitimate
"Subject: Mailbox suspension warning
Body: You have been selected for a bonus payment. Confirm your employee ID and password at [safe-link-placeholder].",phishing
"Subject: Final payroll notice
Body: Your mailbox storage is full. Log in now at [safe-link-placeholder] to prevent account suspension.",phishing
"Subject: Vendor invoice
Body: Here are the meeting notes from today's product planning session.",legitimate
"Subject: Invoice payment overdue
Body: You have been selected for a bonus payment. Confirm your employee ID and password at [safe-link-placeholder].",phishing
